Nest Group,Band Combo,Band Number,,,,,,,,,,,,,,,,,,,,,,,
16E14-61,yv:yb,238110521,,,,,,,,,,,,,,,,,,,,,,,
16E14-75,yv:rw,238110528,,,,,,,,,,,,,,,,,,,,,,,
16E14-75,yv:ww,238110529,,,,,,,,,,,,,,,,,,,,,,,
16E14-75,yv:yw,238110530,,,,,,,,,,,,,,,,,,,,,,,
16E14-76,yv:gr,238110531,,,,,,,,,,,,,,,,,,,,,,,
16E14-76,yv:or,238110532,,,,,,,,,,,,,,,,,,,,,,,
16E14-76,yv:pr,238110533,,,,,,,,,,,,,,,,,,,,,,,
16E14-77,yv:rr,238110534,,,,,,,,,,,,,,,,,,,,,,,
16E14-77,yv:wr,238110535,,,,,,,,,,,,,,,,,,,,,,,
16E14-86,yv:ry,238110560,,,,,,,,,,,,,,,,,,,,,,,
16E14-88,yv:br,238110561,,,,,,,,,,,,,,,,,,,,,,,
16E14-88,yv:yr,238110562,,,,,,,,,,,,,,,,,,,,,,,
17NPP1-4,rk:rr,238110618,,,,,,,,,,,,,,,,,,,,,,,
17NPP1-4,ka:aw,238110619,,,,,,,,,,,,,,,,,,,,,,,
17RSF2-20,ko:ar,238106671,,,,,,,,,,,,,,,,,,,,,,,
17RSF2-20,ko:og,238106672,,,,,,,,,,,,,,,,,,,,,,,
17RSF2-27,gk:yw,238110607,,,,,,,,,,,,,,,,,,,,,,,
17RSF2-27,gk:gr,238110608,,,,,,,,,,,,,,,,,,,,,,,
17RSF2-27,gk:gg,238110609,,,,,,,,,,,,,,,,,,,,,,,
17E6B-8,kk:or,238106668,,,,,,,,,,,,,,,,,,,,,,,
17E6B-8,kk:ab,238106669,,,,,,,,,,,,,,,,,,,,,,,
17E6B-8,kk:yg,238106670,,,,,,,,,,,,,,,,,,,,,,,
17E8-9,kk:br,238110565,,,,,,,,,,,,,,,,,,,,,,,
17E8-9,ko:bb,238110566,,,,,,,,,,,,,,,,,,,,,,,
17E8-9,kk:ay,238110567,,,,,,,,,,,,,,,,,,,,,,,
17E8-14,ka:ab,238110571,,,,,,,,,,,,,,,,,,,,,,,
17E8-14,ka:br,238110572,,,,,,,,,,,,,,,,,,,,,,,
17E8-14,ko:oy,238110573,,,,,,,,,,,,,,,,,,,,,,,
17E8-30,kk:rb,238110589,,,,,,,,,,,,,,,,,,,,,,,
17E16B-9,ka:by,238110601,,,,,,,,,,,,,,,,,,,,,,,
17E16B-9,ko:ob,238110602,,,,,,,,,,,,,,,,,,,,,,,
17E16B-9,ko:gr,238110603,,,,,,,,,,,,,,,,,,,,,,,
17E16B-18,kk:bb,238110581,,,,,,,,,,,,,,,,,,,,,,,
17E16B-18,ko:rw,238110582,,,,,,,,,,,,,,,,,,,,,,,
17E16B-18,kk:wg,238110583,,,,,,,,,,,,,,,,,,,,,,,
17E16B-23,rk:pg,238110610,,,,,,,,,,,,,,,,,,,,,,,
17E16B-23,rk:pr,238110611,,,,,,,,,,,,,,,,,,,,,,,
17E16B-23,ka:pw,238110612,,,,,,,,,,,,,,,,,,,,,,,
17E16B-26,ka:yr,238110613,,,,,,,,,,,,,,,,,,,,,,,
17E16B-26,rk:wr,238110614,,,,,,,,,,,,,,,,,,,,,,,
17E16B-26,ak:gy,238110615,,,,,,,,,,,,,,,,,,,,,,,
17E16B-29,ka:gg,238110616,,,,,,,,,,,,,,,,,,,,,,,
17E16B-29,rk:ry,238110617,,,,,,,,,,,,,,,,,,,,,,,
17E16B-30,gk:bw,238110587,,,,,,,,,,,,,,,,,,,,,,,
17E16B-30,rk:bg,238110588,,,,,,,,,,,,,,,,,,,,,,,
17E13-14,gk:gy,238106666,,,,,,,,,,,,,,,,,,,,,,,
17E13-14,gk:wb,238106667,,,,,,,,,,,,,,,,,,,,,,,
17E13-20,rk:gw,238106673,,,,,,,,,,,,,,,,,,,,,,,
17E13-20,gk:ww,238106674,,,,,,,,,,,,,,,,,,,,,,,
17E13-20,gk:wg,238106675,,,,,,,,,,,,,,,,,,,,,,,
17E14-29,rk:og,238110568,,,,,,,,,,,,,,,,,,,,,,,
17E14-29,ak:yw,238110569,,,,,,,,,,,,,,,,,,,,,,,
17E14-29,ak:og,238110570,,,,,,,,,,,,,,,,,,,,,,,
17E14-39,rk:yw,238110574,,,,,,,,,,,,,,,,,,,,,,,
17E14-39,kk:wr,238110575,,,,,,,,,,,,,,,,,,,,,,,
17E14-39,ko:ay,238110576,,,,,,,,,,,,,,,,,,,,,,,
17E14-64,gk:py,238110577,,,,,,,,,,,,,,,,,,,,,,,
17E14-64,ka:bb,238110578,,,,,,,,,,,,,,,,,,,,,,,
17E14-64,gk:wr,238110579,,,,,,,,,,,,,,,,,,,,,,,
17E14-65,ko:py,238110584,,,,,,,,,,,,,,,,,,,,,,,
17E14-65,gk:or,238110585,,,,,,,,,,,,,,,,,,,,,,,
17E14-65,rk:ay,238110586,,,,,,,,,,,,,,,,,,,,,,,
17E14-67,rk:gg,238110604,,,,,,,,,,,,,,,,,,,,,,,
17E14-67,rk:rb,238110605,,,,,,,,,,,,,,,,,,,,,,,
17E14-67,rk:wb,238110606,,,,,,,,,,,,,,,,,,,,,,,
17E14-80,gk:oy,238110620,,,,,,,,,,,,,,,,,,,,,,,
17E14-82,ka:ay,238110580,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-7,on:rg,238106615,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-7,on:yg,238106616,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-7,on:yw,238106617,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-10,on:rw,238106609,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-10,on:wy,238106610,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-12,kk:bw,238106626,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-12,kk:yy,238106627,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-12,kk:wy,238106628,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-13,on:wr,238106623,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-13,wn:ow,238106624,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-13,wn:ay,238106625,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-16,wn:yg,238106636,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-16,wn:bw,238106635,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-16,wn:yw,238106634,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-21,rk:py,238106637,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-21,ak:wy,238106638,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-21,rk:gr,238106639,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-25,ka:ry,238106642,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-25,ka:rg,238106643,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-25,ka:yg,238106644,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-26,ka:wb,238106596,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-26,kk:yb,238106597,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-27,ko:gw,238106677,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-27,ko:ab,238106678,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-27,ko:wr,238106679,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-28,kk:oy,238106652,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-28,kk:ry,238106653,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-29,ko:bw,238106655,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-29,ko:gb,238106657,,,,,,,,,,,,,,,,,,,,,,,
15RSF2-29,rk:yg,238106656,,,,,,,,,,,,,,,,,,,,,,,
15E6B-2,wn:gw,238106568,,,,,,,,,,,,,,,,,,,,,,,
15E6B-2,wn:ob,238106570,,,,,,,,,,,,,,,,,,,,,,,
15E6B-4,wn:pr,238106629,,,,,,,,,,,,,,,,,,,,,,,
15E6B-4,wn:bg,238106630,,,,,,,,,,,,,,,,,,,,,,,
15E6B-4,wn:py,238106631,,,,,,,,,,,,,,,,,,,,,,,
15E6B-15,ak:yb,238106658,,,,,,,,,,,,,,,,,,,,,,,
15E6B-15,ak:rw,238106659,,,,,,,,,,,,,,,,,,,,,,,
15E6B-15,rk:by,238106660,,,,,,,,,,,,,,,,,,,,,,,
15E8-2,wn:ar,238106606,,,,,,,,,,,,,,,,,,,,,,,
15E8-2,on:gg,238106607,,,,,,,,,,,,,,,,,,,,,,,
15E8-14,gk:wy,238106649,,,,,,,,,,,,,,,,,,,,,,,
15E8-14,ko:by,238106648,,,,,,,,,,,,,,,,,,,,,,,
15E8-14,kk:py,238106650,,,,,,,,,,,,,,,,,,,,,,,
15E8-15,ak:br,238106599,,,,,,,,,,,,,,,,,,,,,,,
15E8-15,ak:yg,238106600,,,,,,,,,,,,,,,,,,,,,,,
15E8-15,kk:yr,238106700,,,,,,,,,,,,,,,,,,,,,,,
15E8-16,ko:aw,238106680,,,,,,,,,,,,,,,,,,,,,,,
15E8-16,ak:aw,238106681,,,,,,,,,,,,,,,,,,,,,,,
15E8-20,ak:bg,238106661,,,,,,,,,,,,,,,,,,,,,,,
15E8-21,ak:yy,238106685,,,,,,,,,,,,,,,,,,,,,,,
15E8-22,gk:ar,238106691,,,,,,,,,,,,,,,,,,,,,,,
15E8-22,gk:yr,238106692,,,,,,,,,,,,,,,,,,,,,,,
15E8-23,kk:ow,238106664,,,,,,,,,,,,,,,,,,,,,,,
15E8-23,gk:rw,238106665,,,,,,,,,,,,,,,,,,,,,,,
15E8-24,kk:gg,238106694,,,,,,,,,,,,,,,,,,,,,,,
15E8-24,rk:gy,238106695,,,,,,,,,,,,,,,,,,,,,,,
15E8-24,kk:gw,238106696,,,,,,,,,,,,,,,,,,,,,,,
15E14-2,on:pg,238106551,,,,,,,,,,,,,,,,,,,,,,,
15E14-2,on:pw,238106552,,,,,,,,,,,,,,,,,,,,,,,
15E14-2,on:rb,238106553,,,,,,,,,,,,,,,,,,,,,,,
15E14-10,ak:py,238106547,,,,,,,,,,,,,,,,,,,,,,,
15E14-10,gk:ry,238106548,,,,,,,,,,,,,,,,,,,,,,,
15E14-11,kk:ag,238106601,,,,,,,,,,,,,,,,,,,,,,,
15E14-11,rk:ww,238106602,,,,,,,,,,,,,,,,,,,,,,,
15E14-12,wn:rw,238106611,,,,,,,,,,,,,,,,,,,,,,,
15E14-12,wn:rg,238106612,,,,,,,,,,,,,,,,,,,,,,,
15E14-12,wn:og,238106614,,,,,,,,,,,,,,,,,,,,,,,
15E14-21,wn:ag,238106562,,,,,,,,,,,,,,,,,,,,,,,
15E14-21,wn:aw,238106563,,,,,,,,,,,,,,,,,,,,,,,
15E14-24,on:ry,238106556,,,,,,,,,,,,,,,,,,,,,,,
15E14-24,on:wg,238106557,,,,,,,,,,,,,,,,,,,,,,,
15E14-25,wn:rb,238106575,,,,,,,,,,,,,,,,,,,,,,,
15E14-25,wn:rr,238106576,,,,,,,,,,,,,,,,,,,,,,,
15E14-27,wn:by,238106566,,,,,,,,,,,,,,,,,,,,,,,
15E14-27,wn:br,238106565,,,,,,,,,,,,,,,,,,,,,,,
15E14-27,wn:bb,238106564,,,,,,,,,,,,,,,,,,,,,,,
15E14-28,on:pb,238106603,,,,,,,,,,,,,,,,,,,,,,,
15E14-28,on:py,238106604,,,,,,,,,,,,,,,,,,,,,,,
15E14-28,on:pr,238106605,,,,,,,,,,,,,,,,,,,,,,,
15E14-30,wn:or,238106571,,,,,,,,,,,,,,,,,,,,,,,
15E14-30,wn:oy,238106572,,,,,,,,,,,,,,,,,,,,,,,
15E14-32,on:yr,238106559,,,,,,,,,,,,,,,,,,,,,,,
15E14-32,on:yy,238106560,,,,,,,,,,,,,,,,,,,,,,,
15E14-33,wn:ry,238106577,,,,,,,,,,,,,,,,,,,,,,,
15E14-33,wn:wg,238106578,,,,,,,,,,,,,,,,,,,,,,,
15E14-34,wn:pg,238106573,,,,,,,,,,,,,,,,,,,,,,,
15E14-34,wn:pw,238106574,,,,,,,,,,,,,,,,,,,,,,,
15E14-38,wn:gr,238106619,,,,,,,,,,,,,,,,,,,,,,,
15E14-38,wn:wr,238106621,,,,,,,,,,,,,,,,,,,,,,,
15E14-38,wn:wy,238106622,,,,,,,,,,,,,,,,,,,,,,,
15E14-42,ka:gr,238106632,,,,,,,,,,,,,,,,,,,,,,,
15E14-42,ka:gy,238106633,,,,,,,,,,,,,,,,,,,,,,,
15E14-48,wn:ww,238106579,,,,,,,,,,,,,,,,,,,,,,,
15E14-48,wn:yb,238106580,,,,,,,,,,,,,,,,,,,,,,,
15E14-48,wn:yr,238106581,,,,,,,,,,,,,,,,,,,,,,,
15E14-52,kk:aw,238106645,,,,,,,,,,,,,,,,,,,,,,,
15E14-52,ko:ww,238106646,,,,,,,,,,,,,,,,,,,,,,,
15E14-52,wn:gy,238106647,,,,,,,,,,,,,,,,,,,,,,,
15E14-61,rk:wy,238106592,,,,,,,,,,,,,,,,,,,,,,,
15E14-61,rk:yy,238106594,,,,,,,,,,,,,,,,,,,,,,,
15E14-61,ka:py,238106595,,,,,,,,,,,,,,,,,,,,,,,
15E14-62,ka:wy,238106589,,,,,,,,,,,,,,,,,,,,,,,
15E14-62,ka:oy,238106590,,,,,,,,,,,,,,,,,,,,,,,
15E14-62,rk:oy,238106591,,,,,,,,,,,,,,,,,,,,,,,
15E14-70,ka:or,238106586,,,,,,,,,,,,,,,,,,,,,,,
15E14-70,ka:rr,238106587,,,,,,,,,,,,,,,,,,,,,,,
15E14-70,ka:wg,238106588,,,,,,,,,,,,,,,,,,,,,,,
15E14-76,wn:yy,238106582,,,,,,,,,,,,,,,,,,,,,,,
15E14-76,ka:gb,238106583,,,,,,,,,,,,,,,,,,,,,,,
15E14-76,rk:pw,238106584,,,,,,,,,,,,,,,,,,,,,,,
15E14-87,ko:ag,238106682,,,,,,,,,,,,,,,,,,,,,,,
15E14-87,ka:yy,238106683,,,,,,,,,,,,,,,,,,,,,,,
15E14-87,ak:rr,238106684,,,,,,,,,,,,,,,,,,,,,,,
15R14-98,rk:ar,238106687,,,,,,,,,,,,,,,,,,,,,,,
15R14-98,gk:aw,238106688,,,,,,,,,,,,,,,,,,,,,,,
15R14-98,kk:pw,238106689,,,,,,,,,,,,,,,,,,,,,,,
12E8-16,ak:by,802115282,,,,,,,,,,,,,,,,,,,,,,,
12E14-11,ak:ag,802115279,,,,,,,,,,,,,,,,,,,,,,,
12E14-11,ak:ay,802115280,,,,,,,,,,,,,,,,,,,,,,,
12E14-11,ak:bb,802115281,,,,,,,,,,,,,,,,,,,,,,,
12E14-36,ak:gg,802115283,,,,,,,,,,,,,,,,,,,,,,,
12E14-36,ak:gr,802115284,,,,,,,,,,,,,,,,,,,,,,,
12E14-38,ak:ob,802115285,,,,,,,,,,,,,,,,,,,,,,,
12E14-38,ak:or,802115286,,,,,,,,,,,,,,,,,,,,,,,
11E6B-10,ko:ow,802115272,,,,,,,,,,,,,,,,,,,,,,,
11E6B-10,rk:pw,802115271,,,,,,,,,,,,,,,,,,,,,,,
11E6B-10,rk:py,802115270,,,,,,,,,,,,,,,,,,,,,,,
11E8-3,ak:ar,802115241,,,,,,,,,,,,,,,,,,,,,,,
11E8-6,ak:gy,802115242,,,,,,,,,,,,,,,,,,,,,,,
11E8-6,ak:wy,802115243,,,,,,,,,,,,,,,,,,,,,,,
11E8-11,kk:yy,802115244,,,,,,,,,,,,,,,,,,,,,,,
11E8-11,rk:ww,802115245,,,,,,,,,,,,,,,,,,,,,,,
11E8-23,ak:ow,802115249,,,,,,,,,,,,,,,,,,,,,,,
11E8-31,ka:yg,802115265,,,,,,,,,,,,,,,,,,,,,,,
11E8-31,ka:yy,802115266,,,,,,,,,,,,,,,,,,,,,,,
11E8-31,kk:yr,802115267,,,,,,,,,,,,,,,,,,,,,,,
11E8-33,ka:wr,802115262,,,,,,,,,,,,,,,,,,,,,,,
11E8-33,ka:ww,802115263,,,,,,,,,,,,,,,,,,,,,,,
11E8-33,ka:wy,802115264,,,,,,,,,,,,,,,,,,,,,,,
11E6-6,rk:rw,802115268,,,,,,,,,,,,,,,,,,,,,,,
11E8A-45,ak:pr,802115250,,,,,,,,,,,,,,,,,,,,,,,
11E8A-45,ak:rr,802115251,,,,,,,,,,,,,,,,,,,,,,,
11E8A-45,ak:yg,802115252,,,,,,,,,,,,,,,,,,,,,,,
11E8A-50,ka:gy,802115256,,,,,,,,,,,,,,,,,,,,,,,
11E8A-50,ka:or,802115257,,,,,,,,,,,,,,,,,,,,,,,
11E8A-50,ka:rg,802115258,,,,,,,,,,,,,,,,,,,,,,,
11E8A-53,ak:yy,802115253,,,,,,,,,,,,,,,,,,,,,,,
11E8A-53,ka:gr,802115254,,,,,,,,,,,,,,,,,,,,,,,
11E8A-53,ka:gw,802115255,,,,,,,,,,,,,,,,,,,,,,,
11E8A-59,rk:ow,802115275,,,,,,,,,,,,,,,,,,,,,,,
11E8A-59,rk:oy,802115274,,,,,,,,,,,,,,,,,,,,,,,
11E12-11,ka:rr,802115259,,,,,,,,,,,,,,,,,,,,,,,
11E12-11,ka:ry,802115260,,,,,,,,,,,,,,,,,,,,,,,
11E12-11,ka:wg,802115261,,,,,,,,,,,,,,,,,,,,,,,
11E12-15,rk:rr,802115269,,,,,,,,,,,,,,,,,,,,,,,
11E16B-10,rk:wy,802115246,,,,,,,,,,,,,,,,,,,,,,,
11E16B-10,rk:yg,802115247,,,,,,,,,,,,,,,,,,,,,,,
11E16B-10,rk:yy,802115248,,,,,,,,,,,,,,,,,,,,,,,
11E16B-15,rk:aw,802115277,,,,,,,,,,,,,,,,,,,,,,,
11E16B-15,rk:og,802115276,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-4,kk:wb,802115203,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-4,kk:wr,802115204,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-4,kk:wy,802115205,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-18,kk:gy,802115202,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-23,gk:by,802115207,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-23,gk:gb,802115208,,,,,,,,,,,,,,,,,,,,,,,
10RSF2-23,gk:gr,802115209,,,,,,,,,,,,,,,,,,,,,,,
10E6B-6,kk:ww,802115201,,,,,,,,,,,,,,,,,,,,,,,
10E6B-21,kk:pb,802115210,,,,,,,,,,,,,,,,,,,,,,,
10E6B-21,kk:pr,802115211,,,,,,,,,,,,,,,,,,,,,,,
10E8-26,ka:wb,802115215,,,,,,,,,,,,,,,,,,,,,,,
10E8-26,kk:aw,802115218,,,,,,,,,,,,,,,,,,,,,,,
10E8-26,kk:yb,802115217,,,,,,,,,,,,,,,,,,,,,,,
10E8-27,gk:ab,802115223,,,,,,,,,,,,,,,,,,,,,,,
10E8-27,gk:rb,802115224,,,,,,,,,,,,,,,,,,,,,,,
10E8-27,gk:rg,802115225,,,,,,,,,,,,,,,,,,,,,,,
10E8-30,gk:yb,802115231,,,,,,,,,,,,,,,,,,,,,,,
10E8-30,gk:yg,802115232,,,,,,,,,,,,,,,,,,,,,,,
10E8-31,kk:yg,802115233,,,,,,,,,,,,,,,,,,,,,,,
10E8-31,kk:pg,802115234,,,,,,,,,,,,,,,,,,,,,,,
10E6-13,kk:pw,802115212,,,,,,,,,,,,,,,,,,,,,,,
10E6-13,kk:py,802115213,,,,,,,,,,,,,,,,,,,,,,,
10E6-13,kk:bb,802115214,,,,,,,,,,,,,,,,,,,,,,,
10E8A-7,kk:gw,802115229,,,,,,,,,,,,,,,,,,,,,,,
10E8A-7,kk:wg,802115230,,,,,,,,,,,,,,,,,,,,,,,
10E12-3,ka:gb,802115221,,,,,,,,,,,,,,,,,,,,,,,
10E12-3,gk:ar,802115222,,,,,,,,,,,,,,,,,,,,,,,
10E12-16,gk:bb,802115238,,,,,,,,,,,,,,,,,,,,,,,
10E12-16,gk:gg,802115237,,,,,,,,,,,,,,,,,,,,,,,
10E12-20,gk:yr,802115236,,,,,,,,,,,,,,,,,,,,,,,
10E12-20,kk:gg,802115235,,,,,,,,,,,,,,,,,,,,,,,
10E12-21,gk:pb,802115239,,,,,,,,,,,,,,,,,,,,,,,
10E12-21,gk:py,802115240,,,,,,,,,,,,,,,,,,,,,,,
10E14-3,gk:wy,802115226,,,,,,,,,,,,,,,,,,,,,,,
10E14-3,gk:yw,802115227,,,,,,,,,,,,,,,,,,,,,,,
10E14-3,gk:ww,802115228,,,,,,,,,,,,,,,,,,,,,,,
10E16B-2,kk:ob,802115398,,,,,,,,,,,,,,,,,,,,,,,
10E16B-2,kk:oy,802115399,,,,,,,,,,,,,,,,,,,,,,,
10E16B-2,kk:ry,802115400,,,,,,,,,,,,,,,,,,,,,,,
10OBN-12-1,gk:ow,802115219,,,,,,,,,,,,,,,,,,,,,,,
10OBN-12-1,gk:oy,802115220,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-1,ko:ag,802115149,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-1,ko:ay,802115150,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-3,ko:br,802115151,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-3,ko:bw,802115152,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-5,ko:aw,802115156,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-5,ko:bg,802115157,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-5,ko:gr,802115158,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-7,ko:wr,802115159,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-7,ko:yb,802115160,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-7,ko:wy,802115161,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-8,ko:ar,802115303,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-8,ko:gb,802115301,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-8,ko:gw,802115302,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-9,ko:ob,802115307,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-9,ko:oy,802115308,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-10,ko:ab,802115304,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-10,ko:by,802115305,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-10,ko:gy,802115306,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-12,ko:rb,802115338,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-12,ko:rw,802115339,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-12,ko:wb,802115340,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-13,ko:ry,802115344,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-13,ko:wg,802115345,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-13,ko:yw,802115346,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-14,ko:bb,802115355,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-14,ko:py,802115354,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-16,ko:gg,802115374,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-16,ko:pr,802115373,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-17,ko:pb,802115357,,,,,,,,,,,,,,,,,,,,,,,
09RSF2-17,ko:pw,802115358,,,,,,,,,,,,,,,,,,,,,,,
